245.14,11.73,1.39,16.12,0.80,46.52,75.04,7.63,1.05,22.02,111.41659024261962
235.10,9.27,1.47,13.53,0.70,49.39,77.23,9.93,0.54,23.97,260.4395877606682
233.58,8.37,1.69,11.35,0.54,41.00,59.14,8.56,1.30,24.99,128.9682196380013
258.62,11.75,1.40,10.41,0.54,49.45,89.12,6.89,0.94,23.07,257.09445492279747
255.80,8.65,1.74,12.76,0.59,47.56,42.78,8.69,0.92,28.57,147.23586302234108
233.97,8.61,1.08,16.06,0.90,44.41,82.71,7.58,0.54,24.22,767.6596776653829
234.71,10.04,1.01,14.23,0.55,45.65,76.58,9.62,1.06,25.32,239.48463246854485
233.14,8.01,1.65,15.18,0.87,47.84,47.80,6.32,0.57,22.56,417.22426317790223
239.87,11.46,1.10,14.66,0.63,49.06,94.73,9.37,1.29,26.98,298.41303937142965
237.23,10.02,1.96,13.72,0.71,45.86,56.41,7.78,1.06,31.47,139.3511680812468
